movie_id,movie_name,sum_box_desc,box_desc,box_rate,show_count_rate,seat_count_rate
1299372,你好，李焕英,50.41亿,6397.48,36.0%,28.9%,35.6%
1300936,人潮汹涌,5.58亿,2880.32,16.2%,15.1%,13.9%
894008,寻龙传说,3372.5万,2470.68,13.9%,16.0%,17.3%
1217023,唐人街探案3,44.04亿,2285.49,12.8%,14.0%,12.3%
1048268,刺杀小说家,9.53亿,1611.41,9.0%,9.2%,7.9%
1299124,新神榜：哪吒重生,4.18亿,746.11,4.2%,4.3%,3.3%
1298938,熊出没·狂野大陆,5.69亿,474.51,2.6%,3.0%,2.4%
1225754,猫和老鼠,9273.3万,424.37,2.3%,3.3%,2.6%
1199007,侍神令,2.65亿,193.63,1.0%,2.2%,1.5%
1301774,错爱迷踪,218.7万,83.66,0.4%,1.7%,1.2%
1308845,风吹浪涌,23.7万,22.48,0.1%,<0.1%,<0.1%
553231,心灵奇旅,3.75亿,14.91,<0.1%,<0.1%,<0.1%
1309692,千顷澄碧的时代,718.4万,13.23,<0.1%,1.5%,1.3%
1230685,猎杀T34,2315.9万,4.77,<0.1%,<0.1%,<0.1%
1332663,海底小纵队：火焰之环,5325.2万,1.95,<0.1%,<0.1%,<0.1%
1199934,郊区的鸟,25.0万,1.92,<0.1%,<0.1%,<0.1%
1280137,特工妈咪,21.5万,1.72,<0.1%,<0.1%,<0.1%
1309852,山路十八湾,443.9万,1.25,<0.1%,<0.1%,<0.1%
1256823,奇霞夺宝录,1.6万,1.25,<0.1%,<0.1%,<0.1%
1352178,远山的等待,1.6万,1.24,<0.1%,<0.1%,<0.1%
1265157,指挥家,136.4万,0.90,<0.1%,<0.1%,<0.1%
1298359,又见奈良,1.5万,0.88,<0.1%,<0.1%,<0.1%
1299454,点点星光,616.2万,0.85,<0.1%,<0.1%,<0.1%
1244901,许愿神龙,1.68亿,0.71,<0.1%,<0.1%,<0.1%
1298756,爱我长城,1.9万,0.70,<0.1%,<0.1%,<0.1%
1167101,有家,10.1万,0.59,<0.1%,<0.1%,<0.1%
1355760,生死下一秒,13.0万,0.52,<0.1%,<0.1%,<0.1%
657668,日暮,45.7万,0.40,<0.1%,<0.1%,<0.1%
1303287,棒！少年,789.5万,0.35,<0.1%,<0.1%,<0.1%
25348,崖上的波妞,2836.2万,0.25,<0.1%,<0.1%,<0.1%
1281368,半条棉被,1199.0万,0.22,<0.1%,<0.1%,<0.1%
1298050,哆啦A梦：大雄的新恐龙,6474.1万,0.22,<0.1%,<0.1%,<0.1%
1298727,湘江1934·向死而生,22.2万,0.15,<0.1%,<0.1%,<0.1%
1301793,掬水月在手,789.5万,0.09,<0.1%,<0.1%,<0.1%
1321157,封口者,229.9万,0.08,<0.1%,<0.1%,<0.1%
1222053,温泉屋的小老板娘,891.6万,0.08,<0.1%,<0.1%,<0.1%
1207337,神奇女侠1984,1.67亿,0.08,<0.1%,<0.1%,<0.1%
1245589,过昭关,50.1万,0.06,<0.1%,<0.1%,<0.1%
248551,白雪公主之神秘爸爸,1121.6万,0.06,<0.1%,<0.1%,<0.1%
1263827,魔镜奇缘3,505.7万,0.04,<0.1%,<0.1%,<0.1%
345409,小伟,144.8万,0.04,<0.1%,<0.1%,<0.1%
248906,流浪地球,46.86亿,0.03,<0.1%,<0.1%,<0.1%
1218469,黄河尕谣,22.1万,0.02,<0.1%,<0.1%,<0.1%
1250700,攀登者,11.02亿,0.02,<0.1%,<0.1%,<0.1%
1283263,天后小助理,25.9万,0.01,<0.1%,<0.1%,<0.1%
1354904,蓝色的卡布奇诺,38.4万,0.01,<0.1%,<0.1%,<0.1%
1255684,梦醒黄金城,5.8万,0.01,<0.1%,<0.1%,<0.1%
1358557,武汉日夜,2413.8万,0.01,<0.1%,<0.1%,<0.1%
248835,消失爱人,6442.1万,0.00,<0.1%,<0.1%,<0.1%
1211270,哪吒之魔童降世,50.35亿,0.00,<0.1%,<0.1%,<0.1%
1334659,出手吧！女生,38.3万,0.00,<0.1%,<0.1%,<0.1%
1353996,莲花池,4.5万,0.00,<0.1%,<0.1%,<0.1%
346272,捉妖记2,22.37亿,0.00,<0.1%,<0.1%,<0.1%
1292091,扶贫主任,5426,0.00,<0.1%,<0.1%,<0.1%
1260459,赛尔号大电影7：疯狂机器城,3147.9万,0.00,<0.1%,<0.1%,<0.1%
246591,大鱼海棠,5.73亿,0.00,<0.1%,<0.1%,<0.1%
1332048,没有过不去的年,5072.3万,0.00,<0.1%,<0.1%,<0.1%
1302490,赤焰,2555.1万,0.00,<0.1%,<0.1%,<0.1%
1276254,魔法鼠乐园,317.1万,0.00,<0.1%,<0.1%,<0.1%
367835,麦兜·饭宝奇兵,2111.5万,0.00,<0.1%,<0.1%,<0.1%
